Query,Query length,NCBI accession,BLAST hit / organism,Identity (%),E-value,Bit score,Raw score,Matched bases,Alignment length,Strand,GenBank
E230525-016_G19_37_27F,1589,MK956956.1,"Bacillus cereus strain BBS15 16S ribosomal RNA gene, partial sequence",95,0.0,2117,1146,1303,1375,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/MK956956
E230525-016_I19_38_27F,1502,LC628031.1,"Pseudomonas aeruginosa PSE5 gene for 16S ribosomal RNA, partial sequence",95,0.0,1960,1061,1193,1253,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/LC628031
E230525-016_K19_39_27F,1242,MG938651.1,"Lactobacillus sp. strain UVAS:RY7 16S ribosomal RNA gene, partial sequence",92,0.0,1181,639,787,857,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/MG938651
E230525-016_M19_40_27F,980,KX752827.1,"Enterococcus hirae strain SNNU0206 16S ribosomal RNA gene, partial sequence",86,4e-149,542,293,451,522,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/KX752827
E230525-016_O19_41_27F,1564,MF326331.1,"Enterococcus hirae strain 1-X1-16 16S ribosomal RNA gene, partial sequence",94,0.0,1812,981,1135,1209,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/MF326331
E230525-016_A21_43_27F,1552,OM281295.1,"Enterococcus faecium strain KS3 16S ribosomal RNA gene, partial sequence",95,0.0,1742,943,1062,1118,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/OM281295
E230525-016_C21_46_27F,1227,MH620760.1,"Leclercia adecarboxylata strain FM16 16S ribosomal RNA gene, partial sequence",92,0.0,1120,606,736,800,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/MH620760
E230525-016_E21_48_27F,1236,ON247933.1,"Bacillus sp. (in: Bacteria) strain M122 16S ribosomal RNA gene, partial sequence",91,0.0,1225,663,828,906,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/ON247933
E230525-016_G21_49_27F,1285,AB363463.1,"Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: 2-4-85",75,1e-36,169,91,303,402,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/AB363463
E230525-016_I21_50_27F,1244,MK480134.1,"Bacterium strain SMBR 15 16S ribosomal RNA gene, partial sequence",81,3e-162,586,317,606,746,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/MK480134
E230525-016_K21_52_27F,1438,KX881771.1,"Enterococcus faecium strain Unkn666 16S ribosomal RNA gene, partial sequence",94,0.0,1799,974,1117,1183,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/KX881771
E230525-016_M21_53_27F,1440,KY962890.1,"Enterococcus faecium strain Unknown23 16S ribosomal RNA gene, partial sequence",96,0.0,1978,1071,1166,1209,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/KY962890
E230525-016_O21_54_27F,1456,ON329085.1,"Enterococcus faecium strain HBUAS59914 16S ribosomal RNA gene, partial sequence",96,0.0,2004,1085,1181,1226,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/ON329085
E230525-016_A23_55_27F,1389,KU681044.1,"Bacillus subtilis strain Al-2 16S ribosomal RNA gene, partial sequence",97,0.0,2137,1157,1230,1263,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/KU681044
E230525-016_C23_57_27F,1450,KY962892.1,"Enterococcus faecium strain Unknown25 16S ribosomal RNA gene, partial sequence",96,0.0,2056,1113,1227,1279,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/KY962892
E230525-016_E23_58_27F,1515,MH935779.1,"Pseudomonas sp. strain T22 16S ribosomal RNA gene, partial sequence",94,0.0,1916,1037,1196,1269,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/MH935779
E230525-016_G23_60_27F,1216,LC329437.1,"Uncultured bacterium X131A_Mar15-1_H10 gene for 16S ribosomal RNA, partial sequence",95,5e-05,63.9,34,38,40,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/LC329437
E230525-016_I23_65_27F,1396,MT457705.1,"Enterococcus faecium strain MLG20-28 16S ribosomal RNA gene, partial sequence",96,0.0,1903,1030,1145,1198,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/MT457705
E230525-016_K23_66_27F,1398,LC628031.1,"Pseudomonas aeruginosa PSE5 gene for 16S ribosomal RNA, partial sequence",97,0.0,2137,1157,1246,1287,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/LC628031
E230525-016_M23_67_27F,1406,OK576656.1,"Pseudomonas aeruginosa strain Isolate C2 16S ribosomal RNA gene, partial sequence",98,0.0,2056,1113,1177,1206,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/OK576656
E230525-017_A01_68_27F,1584,LC628031.1,"Pseudomonas aeruginosa PSE5 gene for 16S ribosomal RNA, partial sequence",95,0.0,1775,961,1086,1145,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/LC628031
